ID,Japanese,English,Chinese,EnglishCensored,Korean,German
85,,Formazione Cremisi,無雙天翔翼之陣,,무쌍천상익지진,Purpur-Formation
86,,Tifaret,生命之樹,,티파렛,Tifaret
87,,Utopia,理想鄉,,이상향,Utopie
88,,Vampiro,吸血鬼,,흡혈귀,Vampir
89,,Purga Lucente,肅清閃光,,퍼지 샤인,Säuberungsglanz
90,,Crimson Mode,真紅蓮型態,,크림슨 모드,Crimson Mode
91,,Spirito Umano,人類鬥士精神,,휴먼 스피릿,Menschlicher Geist
92,,Spirito Animale,野獸鬥士精神,,비스트 스피릿,Bestiengeist
93,,"Vento-Fiamma, Ghiaccio-Spada",風為焰，冰牙成吾劍,,바람은 화염에 빙아는 검에,"Windflamme, Eisschwert"
94,,"Oscurità-Luce, Cannone-Tuono",黑暗為光芒，雷牙成砲彈,,어둠은 빛에 뇌아는 포에,Dunkellicht-Donnerkanone
95,,Dio della Guerra,武神,,무신,Kriegsgott
96,,Gekirin,逆鱗,,역린,Gekirin
97,,Tenryu,天龍,,천룡,Tenryu
98,,Chiryu,地龍,,지룡,Chiryu
99,,Blast Digievoluzione,爆裂進化,,블래스트 에볼루션,Knall-Digitation
100,,Stigma Sacro,神聖烙印,Feral Power,홀리 스티그마,Wildkraft
101,,Supervisore,監察官,,훈육담당,Aufseher
102,,Cuore Incrociato,十字利心,,크로스 하트,Kreuzherz
103,,Sogno Infinito,無限之夢,,인피니티 드림,Unendlichkeitstraum
104,,Legend-Arms,Legend－Arms,,Legend-Arms,Legendenwaffen
105,,Re Vampiro,吸血鬼之王,,흡혈귀의 왕,Vampirkönig
106,,Servizio Platinum,白金服務,,플래티넘 서비스,Platin-Service
107,,Pericolo Digitale,數碼危機,,디지털 해저드,Digitale Bedrohung
108,,Difesa Incrollabile,強力接招,,완전 방어,Solide Verteidigung
109,,NXEdge Style,NXEDGE STYLE,,넥스엣지 스타일,NXEdge-Stil
110,,NXEdge Style,NXEDGE STYLE,,넥스엣지 스타일,NXEdge-Stil
111,,NXEdge Style,NXEDGE STYLE,,넥스엣지 스타일,NXEdge-Stil
112,,Contrattacco,逆襲,,역습,Gegenattacke
113,,NXEdge Style,NXEDGE STYLE,,넥스엣지 스타일,NXEdge-Stil
114,,NXEdge Style,NXEDGE STYLE,,넥스엣지 스타일,NXEdge-Stil
115,,Spirito del samurai,武士風範,,무사 기질,Geist der Samurai
116,,Rivelazione,啟示錄,,묵시록,Offenbarung
