ID,Japanese,English,Chinese,EnglishCensored,Korean,German
58,"","Instantly returns party to the dungeon
entrance.","瞬間返回迷宮的入口","","순식간에 던전 입구로 돌아간다.","Bringt die Gruppe zum Dungeon-Eingang
zurück."
60,"","A Digi-Egg engraved with a courageous
crest.","刻有勇氣徽章的數碼裝甲","","용기의 문장이 새겨진 디지멘탈","Ein Digi-Ei, in das ein Tapferkeitswappen
eingraviert ist."
61,"","A Digi-Egg engraved with a miraculous
crest.","刻有奇蹟徽章的數碼裝甲","","기적의 문장이 새겨진 디지멘탈","Ein Digi-Ei, in das ein Wunderwappen
eingraviert ist."
62,"","A Digi-Egg engraved with a crest of
destiny.","刻有命運徽章的數碼裝甲","","운명의 문장이 새겨진 디지멘탈","Ein Digi-Ei, in das ein Schicksalswappen
eingraviert ist."
63,"","Proof that you've completed all trials.","達成所有試煉的證明","","모든 시련을 돌파했다는 증표","Beweis dafür, dass du alle Prüfungen
abgeschlossen hast."
64,"","Warrior of Flame sealed within.
Human Spirit","封著火焰十鬥士精神的
人類鬥士精神","","화염의 십투사의 스피릿이 봉인된
휴먼 스피릿","Versiegelter Krieger der Flamme.
Menschlicher Geist"
65,"","Warrior of Flame sealed within.
Beast Spirit","封著火焰十鬥士精神的
野獸鬥士精神","","화염의 십투사의 스피릿이 봉인된
비스트 스피릿","Versiegelter Krieger der Flamme.
Bestiengeist"
66,"","Warrior of Light sealed within.
Human Spirit","封著光之十鬥士精神的
人類鬥士精神","","빛의 십투사의 스피릿이 봉인된
휴먼 스피릿","Versiegelter Krieger des Lichts.
Menschlicher Geist"
67,"","Warrior of Light sealed within.
Beast Spirit","封著光之十鬥士精神的
野獸鬥士精神","","빛의 십투사의 스피릿이 봉인된
비스트 스피릿","Versiegelter Krieger des Lichts.
Bestiengeist"
68,"","Digivolution Item 9 Info","進化用道具9的說明","","진화용 아이템 9의 설명","Info zu Digitations-Item 9"
69,"","Digivolution Item 10 Info","進化用道具10的說明","","진화용 아이템 10의 설명","Info zu Digitations-Item 10"
70,"","""It's November's birthstone!"" (Nokia)
/For converting to money.","「這是11月的誕生石唷－－」（諾奇雅）
／換錢道具","","「11월의 탄생석이야」(노키아)
/환금 아이템","„November-Geburtsstein!“ (Nokia)
/Zum Umwandeln in Geld."
71,"","""Gem language for friendship."" - Yuuko
/For converting to money.","「寶石語是友情。」（悠子）
／換錢道具","","「이 돌의 의미는 우정입니다」(유코)
/환금 아이템","„Freundschaft in Edelsteinform.“ (Yuuko)
/Zum Umwandeln in Geld."
72,"","A translucent cerulean beryl gemstone.
/For converting to money.","綠柱石中透明而帶有海藍色的寶石
／換錢道具","","녹주석 중 투명하고 스카이블루 보석
/환금 아이템","Ein durchscheinender himmelblauer Beryll.
/Zum Umwandeln in Geld."
73,"","A gemstone that can bring things back to
life. /For converting to money.","被喻為可以使生命再生的寶石
／換錢道具","","생명의 재생을 가져오는 보석
/환금 아이템","Ein Edelstein, der Dinge wiederbeleben kann.
/Zum Umwandeln in Geld."
74,"","Gemstone that changes color in different
light. /For converting to money.","在太陽光下為藍綠色，人工照明下為紅色的寶石
／換錢道具","","태양 아래에서는 청록, 조명 아래에서는 붉은 보석
/환금 아이템","Edelstein, der seine Farbe im Licht ändert.
/Zum Umwandeln in Geld."
75,"","A scarlet adamantine gemstone.
/For converting to money.","硬度僅次於鑽石的紅色寶石
／換錢道具","","다이아몬드 다음으로 단단한 붉은 보석
/환금 아이템","Ein leuchtend roter diamantharter Edelstein.
/Zum Umwandeln in Geld."
76,"","A polychrome adamantine gemstone.
/For converting to money.","硬度僅次於鑽石，顏色為紅色以外的其他顏色寶石
／換錢道具","","다이아몬드 다음으로 단단한 붉은색 외의 보석
/환금 아이템","Ein vielfarbiger diamantharter Edelstein.
/Zum Umwandeln in Geld."
77,"","A strong-green beryl gemstone.
/For converting to money.","綠柱石的一種，帶有強烈豔綠色的寶石
／換錢道具","","녹주석의 일종으로 강한 녹색을 띤 보석
/환금 아이템","Ein Beryll in kräftigem Grün.
/Zum Umwandeln in Geld."
78,"","""So it's just a regular pencil!?"" (Kyoko)
/For converting to money.","「也就是說，這只是普通的鉛筆吧？」（杏子）
／換錢道具","","「결국 그냥 연필인 거잖아?」(쿄코)
/환금 아이템","„Das ist also nur ein gewöhnlicher Stift?!“ (Kyoko)
/Zum Umwandeln in Geld."
79,"","Alloy of Chrome Digizoit and living things.
/For converting to money.","兼具數碼合金及生物有機體的合金
／換錢道具","","크롬디지조이트와 생물의 유기체를 모두 갖춘 합금
/환금 아이템","Legierung aus Chrom-Digizoid und Lebewesen.
/Zum Umwandeln in Geld."
90,"","Memory for the Digivice.
Increases party memory maximum by 5.","擴張Digivice的記憶體晶片
隊伍上限增加5","","디지바이스를 확장하는 메모리 칩
파티 메모리의 상한이 5 증가한다.","Speicher für das Digivice. Erhöht den
maximalen Gruppenspeicher um 5."
91,"","High-capacity memory for the Digivice.
Increases party memory maximum by 10.","擴張Digivice的大容量記憶體晶片
隊伍上限增加10","","디지바이스를 확장하는 대용량 메모리 칩
파티 메모리의 상한이 10 증가한다.","Großer Speicher für das Digivice. Erhöht
den maximalen Gruppenspeicher um 10."
100,"","Changes Digimon personality to Durable.","將單體數碼寶貝的個性變更為耐久型","","디지몬 1마리의 개성을 내구형으로 바꾼다.","Verändert die Digimon-Persönlichkeit zu
„Ausdauernd“."
101,"","Changes Digimon personality to Lively.","將單體數碼寶貝的個性變更為活力型","","디지몬 1마리의 개성을 활력형으로 바꾼다.","Verändert die Digimon-Persönlichkeit zu
„Lebhaft“."
102,"","Changes Digimon personality to Fighter.","將單體數碼寶貝的個性變更為攻擊型","","디지몬 1마리의 개성을 공격형으로 바꾼다.","Verändert die Digimon-Persönlichkeit zu
„Kämpfer“."
103,"","Changes Digimon personality to Defender.","將單體數碼寶貝的個性變更為防禦型","","디지몬 1마리의 개성을 방어형으로 바꾼다.","Verändert die Digimon-Persönlichkeit zu
„Verteidiger“."
104,"","Changes Digimon personality to Brainy.","將單體數碼寶貝的個性變更為智力型","","디지몬 1마리의 개성을 지력형으로 바꾼다.","Verändert die Digimon-Persönlichkeit zu
„Intelligent“."
105,"","Changes Digimon personality to Nimble.","將單體數碼寶貝的個性變更為速度型","","디지몬 1마리의 개성을 민첩형으로 바꾼다.","Verändert die Digimon-Persönlichkeit zu
„Behände“."
106,"","Changes Digimon personality to Builder.","將單體數碼寶貝的個性變更為開發型","","디지몬 1마리의 개성을 개발형으로 바꾼다.","Verändert die Digimon-Persönlichkeit zu
„Entwickler“."
107,"","Changes Digimon personality to Searcher.","將單體數碼寶貝的個性變更為調查型","","디지몬 1마리의 개성을 조사형으로 바꾼다.","Verändert die Digimon-Persönlichkeit zu
„Sucher“."
110,"","Slightly reduces one Digimon's
enhanced Max HP.","稍微降低單體數碼寶貝
強化後的最大HP","","디지몬 1마리의
강화한 최대 HP를 약간 떨어뜨린다.","Reduziert leicht die erhöhten max. TP
eines Digimon."
111,"","Reduces one Digimon's
enhanced Max HP.","降低單體數碼寶貝
強化後的最大HP","","디지몬 1마리의
강화한 최대 HP를 떨어뜨린다.","Reduziert die erhöhten max. TP
eines Digimon."
112,"","Greatly reduces one Digimon's
enhanced Max HP.","大幅降低單體數碼寶貝
強化後的最大HP","","디지몬 1마리의
강화한 최대 HP를 크게 떨어뜨린다.","Reduziert deutlich die erhöhten max. TP
eines Digimon."
113,"","Slightly reduces one Digimon's
enhanced Max SP.","稍微降低單體數碼寶貝
強化後的最大SP","","디지몬 1마리의
강화한 최대 SP를 약간 떨어뜨린다.","Reduziert leicht die erhöhten max. SP
eines Digimon."
114,"","Reduces one Digimon's
enhanced Max SP.","降低單體數碼寶貝
強化後的最大SP","","디지몬 1마리의
강화한 최대 SP를 떨어뜨린다.","Reduziert die erhöhten max. SP
eines Digimon."
115,"","Greatly reduces one Digimon's
enhanced Max SP.","大幅降低單體數碼寶貝
強化後的最大SP","","디지몬 1마리의
강화한 최대 SP를 크게 떨어뜨린다.","Reduziert deutlich die erhöhten max. SP
eines Digimon."
116,"","Slightly reduces one Digimon's
enhanced ATK.","稍微降低單體數碼寶貝
強化後的ATK","","디지몬 1마리의
강화한 공격력을 약간 떨어뜨린다.","Reduziert leicht den erhöhten ANG-Wert
eines Digimon."
117,"","Reduces one Digimon's
enhanced ATK.","降低單體數碼寶貝
強化後的ATK","","디지몬 1마리의
강화한 공격력을 떨어뜨린다.","Reduziert den erhöhten ANG-Wert
eines Digimon."
118,"","Greatly reduces one Digimon's
enhanced ATK.","大幅降低單體數碼寶貝
強化後的ATK","","디지몬 1마리의
강화한 공격력을 크게 떨어뜨린다.","Reduziert deutlich den erhöhten ANG-Wert
eines Digimon."
119,"","Slightly reduces one Digimon's
enhanced DEF.","稍微降低單體數碼寶貝
強化後的DEF","","디지몬 1마리의
강화한 방어력을 약간 떨어뜨린다.","Reduziert den erhöhten VER-Wert
eines Digimon."
120,"","Reduces one Digimon's
enhanced DEF.","降低單體數碼寶貝
強化後的DEF","","디지몬 1마리의
강화한 방어력을 떨어뜨린다.","Reduziert deutlich den erhöhten VER-Wert
eines Digimon."
121,"","Greatly reduces one Digimon's
enhanced DEF.","大幅降低單體數碼寶貝
強化後的DEF","","디지몬 1마리의
강화한 방어력을 크게 떨어뜨린다.","Reduziert deutlich den erhöhten VER-Wert
eines Digimon."
122,"","Slightly reduces one Digimon's
enhanced INT.","稍微降低單體數碼寶貝
強化後的INT","","디지몬 1마리의
강화한 지력을 약간 떨어뜨린다.","Reduziert leicht den erhöhten INT-Wert
eines Digimon."
123,"","Reduces one Digimon's
enhanced INT.","降低單體數碼寶貝
強化後的INT","","디지몬 1마리의
강화한 지력을 떨어뜨린다.","Reduziert den erhöhten INT-Wert
eines Digimon."
124,"","Greatly reduces one Digimon's
enhanced INT.","大幅降低單體數碼寶貝
強化後的INT","","디지몬 1마리의
강화한 지력을 크게 떨어뜨린다.","Reduziert deutlich den erhöhten INT-Wert
eines Digimon."
125,"","Slightly reduces one Digimon's
enhanced SPD.","稍微降低單體數碼寶貝
強化後的SPD","","디지몬 1마리의
강화한 민첩을 약간 떨어뜨린다.","Reduziert leicht den erhöhten GES-Wert
eines Digimon."
126,"","Reduces one Digimon's
enhanced SPD.","降低單體數碼寶貝
強化後的SPD","","디지몬 1마리의
강화한 민첩을 떨어뜨린다.","Reduziert den erhöhten GES-Wert
eines Digimon."
127,"","Greatly reduces one Digimon's
enhanced SPD.","大幅降低單體數碼寶貝
強化後的SPD","","디지몬 1마리의
강화한 민첩을 크게 떨어뜨린다.","Reduziert deutlich den erhöhten GES-Wert
eines Digimon."
200,"","Feed that dramatically increases CAM
on rare occasions. /Usable in the DigiFarm","低機率使友情大幅提升的食物
／可以在數碼農場裡使用","","드물게 우정이 크게 오르는 음식
/디지팜에서 사용가능","Futter, das KAM selten drastisch erhöht.
/Für die Digifarm."
201,"","Feed that greatly increases CAM
/Usable in the DigiFarm","使友情大幅提升的食物
／可以在數碼農場裡使用","","우정이 크게 오르는 음식
/디지팜에서 사용가능","Futter, das KAM deutlich erhöht.
/Für die Digifarm."
202,"","Feed that increases HP Max
/Usable in the DigiFarm","提升HP最大值的食物
／可以在數碼農場裡使用","","HP최대치가 오르는 음식
/디지팜에서 사용가능","Futter, das die max. TP erhöht.
/Für die Digifarm."
203,"","Feed that increases SP Max
/Usable in the DigiFarm","提升SP最大值的食物
／可以在數碼農場裡使用","","SP최대치가 오르는 음식
/디지팜에서 사용가능","Futter, das die max. SP erhöht.
/Für die Digifarm."
204,"","Feed that increases ATK
/Usable in the DigiFarm","提升ATK的食物
／可以在數碼農場裡使用","","공격력이 오르는 음식
/디지팜에서 사용가능","Futter, das ANG erhöht.
/Für die Digifarm."
205,"","Feed that increases DEF
/Usable in the DigiFarm","提升DEF的食物
／可以在數碼農場裡使用","","방어력이 오르는 음식
/디지팜에서 사용가능","Futter, das VER erhöht.
/Für die Digifarm."
206,"","Feed that increases INT
/Usable in the DigiFarm","提升INT的食物
／可以在數碼農場裡使用","","지력이 오르는 음식
/디지팜에서 사용가능","Futter, das INT erhöht.
/Für die Digifarm."
207,"","Feed that increases SPD
/Usable in the DigiFarm","提升SPD的食物
／可以在數碼農場裡使用","","민첩이 오르는 음식
/디지팜에서 사용가능","Futter, das GES erhöht.
/Für die Digifarm."
208,"","Feed that greatly increases CAM and ABI
/Usable in the DigiFarm","大幅提升友情和才能的食物
／可以在數碼農場裡使用","","우정과 재능이 크게 오르는 음식
/디지팜에서 사용가능","Futter, das KAM und FÄH deutlich erhöht.
/Für die Digifarm."
209,"","Raises one ally's base stats by 30% for
5 turns and poisons them in battle.","戰鬥時，5回合內我方單體
基本狀態上升30%，但陷入猛毒狀態","","배틀 시 5턴 동안 아군 1마리의 기본 스테이터스가
30% 상승하는 대신 맹독에 걸린다.","Erhöht Grundwerte eines Verbündeten für
5 Züge um 30 %, vergiftet ihn im Kampf."
210,"","Increases CAM by 100.","友情值上升100","","우정치를 100 상승시킨다.","Erhöht KAM um 100."
211,"","A rare comic chosen with care by Arata.
An irresistible, rare gem. /Money Item","新嚴選的稀有漫畫。
愛好者無法抵抗的珍品／換錢道具","","아라타가 엄선한 레어 코믹스.
마니아라면 배겨내지 못할 일품 /환금 아이템","Ein seltener Comic, von Arata gewählt.
Eine echte Perle. /Geldwert"
212,"","Removes abnormal statuses from all
battle members and restores HP & SP.","解除所有戰鬥成員的異常狀態，
並回復所有HP&SP","","배틀 멤버 전체의 상태이상을 해제하고
HP와 SP를 완전 회복한다.","Heilt alle Verbündeten von Statusleiden
und stellt TP und SP wieder her."
213,"","Raises one ally's ATK and EVA by 50% for
5 turns in battle.","戰鬥時，5回合內我方單個
數碼寶貝ATK&EVA上升50%","","배틀 시 5턴 동안 아군 1마리의
공격력과 회피율이 50% 상승한다.","Erhöht ANG u. AWN eines Verbündeten im
Kampf 5 Züge lang um 50 %."
214,"","+800,000 EXP for one Digimon.","為一數碼寶貝增加800000EXP","","디지몬 1마리에게 +800000EXP","+800.000 EP für ein Digimon."
215,"","""You know just how to get to me.""
(Yu) /Money Item","「就說，你這是...欺負人的新招啊...」
(優)／換錢道具","","「그러니까… 그거… 신종 괴롭힘이라니까……」
(유우) /환금 아이템","„Du weißt genau, wie man mich
fertigmachen kann.“ (Yu) /Geldwert"
216,"","Erika's handmade tarte tatin.
Fully restores the HP and SP of one ally.","艾莉卡給的法式塔丁蘋果塔
能恢復我方單體所有HP跟SP","","에리카로부터 받은 수제 타르트 타탱.
아군 1체의 HP와 SP를 완전 회복한다.","Erikas selbstgebackene Tarte Tatin.
Stellt TP und SP eines Verb. wieder her."
217,"","Ryuji's handmade bento.
Fully restores the HP and SP of one ally.","龍司給的手工便當
能恢復我方單體所有HP跟SP","","류지로부터 받은 수제 도시락.
아군 1체의 HP와 SP를 완전 회복한다.","Ryujis selbstzubereitetes Bento.
Stellt TP und SP eines Verb. wieder her."
218,"","Chitose's handmade cookie.
Fully restores the HP and SP of one ally.","千歲給的中意餅乾
能恢復我方單體所有HP跟SP","","치토세로부터 받은 맛있는 사블레.
아군 1체의 HP와 SP를 완전 회복한다.","Chitoses selbstgebackener Keks.
Stellt TP und SP eines Verb. wieder her."
219,"","Yu's handmade chocolate cake.
Fully restores the HP and SP of one ally.","優給的手工巧克力蛋糕
能恢復我方單體所有HP跟SP","","유우로부터 받은 수제 가토 쇼콜라.
아군 1체의 HP와 SP를 완전 회복한다.","Yus selbstgebackener Schokokuchen.
Stellt TP und SP eines Verb. wieder her."
220,"","Yuuko's handmade omelet.
Fully restores the HP and SP of one ally.","悠子給的手工蛋包飯
能恢復我方單體所有HP跟SP","","유코로부터 받은 수제 오믈렛.
아군 1체의 HP와 SP를 완전 회복한다.","Yuukos selbstgekochtes Omelett.
Stellt TP und SP eines Verb. wieder her."
221,"","Fei's handmade warabimochi.
Fully restores the HP and SP of one ally.","菲給的手工蕨餅
能恢復我方單體所有HP跟SP","","페이로부터 받은 수제 고사리 모치.
아군 1체의 HP와 SP를 완전 회복한다.","Feis selbstzubereitetes Warabimochi.
Stellt TP und SP eines Verb. wieder her."
222,"","Date's handmade bun.
Fully restores the HP and SP of one ally.","伊達給的手工紅豆麵包
能恢復我方單體所有HP跟SP","","다테로부터 받은 수제 팥빵.
아군 1체의 HP와 SP를 완전 회복한다.","Dates selbstgebackenes Brötchen.
Stellt TP und SP eines Verb. wieder her."
223,"","Matayoshi's favorite milk.
Fully restores the HP and SP of one ally.","又吉給的中意牛奶
能恢復我方單體所有HP跟SP","","마타요시로부터 받은 맛있는 우유.
아군 1체의 HP와 SP를 완전 회복한다.","Matayoshis Lieblingsmilch.
Stellt TP und SP eines Verb. wieder her."
224,"","Nokia's handmade kuzumochi.
Fully restores the HP and SP of one ally.","諾奇雅給的手工葛餅
能恢復我方單體所有HP跟SP","","노키아로부터 받은 수제 쿠즈모치.
아군 1체의 HP와 SP를 완전 회복한다.","Nokias selbstzubereitetes Kuzumochi.
Stellt TP und SP eines Verb. wieder her."
225,"","Agumon and Gabumon's meat.
Fully restores the HP and SP of one ally.","亞古獸跟加布獸給的特製肉
能恢復我方單體所有HP跟SP","","아구몬과 파피몬으로부터 받은 특제 고기.
아군 1체의 HP와 SP를 완전 회복한다.","Fleisch von Agumon und Gabumon.
Stellt TP und SP eines Verb. wieder her."
226,"","Arata's favorite muffin.
Fully restores the HP and SP of one ally.","新給的中意瑪芬
能恢復我方單體所有HP跟SP","","아라타로부터 받은 맛있는 머핀.
아군 1체의 HP와 SP를 완전 회복한다.","Aratas Lieblingsmuffin.
Stellt TP und SP eines Verb. wieder her."
227,"","Lillymon's meat.
Fully restores the HP and SP of one ally.","花仙獸給的特製肉
能恢復我方單體所有HP跟SP","","릴리몬으로부터 받은 특제 고기.
아군 1체의 HP와 SP를 완전 회복한다.","Fleisch von Lillymon.
Stellt TP und SP eines Verb. wieder her."
228,"","Renamon's meat.
Fully restores the HP and SP of one ally.","妖狐獸給的特製肉
能恢復我方單體所有HP跟SP","","레나몬으로부터 받은 특제 고기.
아군 1체의 HP와 SP를 완전 회복한다.","Fleisch von Renamon.
Stellt TP und SP eines Verb. wieder her."
229,"","Beelzemon's meat.
Fully restores the HP and SP of one ally.","墮天地獄獸給的特製肉
能恢復我方單體所有HP跟SP","","베르제브몬으로부터 받은 특제 고기.
아군 1체의 HP와 SP를 완전 회복한다.","Fleisch von Beelzemon.
Stellt TP und SP eines Verb. wieder her."
230,"","Leomon's meat.
Fully restores the HP and SP of one ally.","獅子獸給的特製肉
能恢復我方單體所有HP跟SP","","레오몬으로부터 받은 특제 고기.
아군 1체의 HP와 SP를 완전 회복한다.","Fleisch von Leomon.
Stellt TP und SP eines Verb. wieder her."
301,"","Max HP +50
/Equipment","最大HP+50
／裝備","","최대 HP+50
/장비품","Max. TP +50
/Ausrüstung"
302,"","Max HP +100
/Equipment","最大HP+100
／裝備","","최대 HP+100
/장비품","Max. TP +100
/Ausrüstung"
303,"","Max HP +150
/Equipment","最大HP+150
／裝備","","최대 HP+150
/장비품","Max. TP +150
/Ausrüstung"
304,"","Max HP +200
/Equipment","最大HP+200
／裝備","","최대 HP+200
/장비품","Max. TP +200
/Ausrüstung"
